"unigram","frequency"
"the",44725
"to",24346
"and",22822
"a",21159
"of",19507
"in",14805
"i",13131
"that",9408
"for",9144
"is",9018
"it",7876
"on",7134
"you",6584
"with",6307
"was",5704
"at",4944
"this",4843
"be",4652
"my",4645
"have",4605
"but",4366
"as",4314
"are",4301
"he",3987
"we",3800
"not",3568
"from",3420
"so",3204
"they",3143
"said",3139
"or",3004
"his",3002
"by",2914
"all",2862
"will",2813
"me",2748
"an",2690
"one",2683
"out",2624
"about",2619
"up",2481
"has",2451
"when",2403
"if",2363
"just",2344
"what",2257
"more",2144
"had",2137
"like",2083
"your",2076
"her",2072
"can",2060
"who",2058
"their",1985
"time",1964
"would",1939
"there",1929
"do",1891
"she",1870
"some",1816
"our",1699
"get",1688
"been",1685
"were",1649
"new",1622
"no",1622
"them",1524
"which",1443
"how",1403
"it's",1386
"now",1386
"year",1316
"than",1304
"people",1281
"first",1279
"good",1265
"know",1262
"also",1257
"day",1257
"other",1244
"into",1233
"back",1218
"its",1200
"last",1191
"because",1185
"after",1179
"over",1165
"two",1157
"make",1139
"i'm",1133
"then",1110
"only",1098
"him",1097
"love",1082
"go",1070
"could",1058
"us",1031
"even",1030
"see",1030
"think",1011
"much",1004
"well",984
"going",977
"way",936
"really",906
"don't",899
"too",886
"before",870
"very",869
"years",858
"those",852
"work",851
"right",845
"most",838
"many",835
"still",834
"did",825
"great",824
"here",824
"off",824
"where",824
"these",811
"am",805
"take",800
"being",799
"want",798
"school",787
"may",780
"through",772
"any",770
"today",769
"made",768
"home",751
"life",738
"while",730
"got",723
"state",722
"never",721
"down",714
"little",689
"need",681
"week",675
"should",667
"come",650
"another",647
"something",646
"long",641
"say",629
"things",622
"since",619
"best",617
"three",614
"game",604
"next",600
"around",598
"always",588
"few",575
"world",574
"why",561
"each",552
"city",549
"look",549
"both",542
"night",542
"better",538
"old",534
"thanks",533
"such",526
"again",523
"every",521
"it’s",518
"high",509
"place",503
"family",495
"use",495
"feel",493
"house",489
"lot",489
"sure",489
"big",479
"find",476
"help",475
"show",475
"own",474
"same",474
"keep",472
"that's",465
"though",465
"days",463
"man",456
"ever",453
"went",452
"left",448
"book",444
"might",444
"told",443
"says",442
"thing",441
"used",440
"part",439
"until",439
"came",435
"end",433
"against",429
"put",426
"season",424
"getting",415
"during",412
"give",412
"happy",410
"money",410
"public",410
"second",410
"rt",409
"team",408
"away",407
"play",402
"four",401
"didn't",397
"percent",397
"between",389
"does",389
"let",389
"point",384
"u",384
"thought",383
"friends",381
"under",381
"can't",378
"free",375
"hope",375
"i've",371
"done",369
"without",368
"making",367
"once",361
"looking",359
"morning",359
"doing",358
"found",358
"tell",357
"least",356
"top",355
"lol",354
"story",352
"million",347
"start",346
"don’t",344
"police",344
"call",341
"read",341
"called",340
"oh",335
"enough",334
"already",333
"bit",333
"children",333
"i’m",332
"set",332
"took",332
"real",330
"god",326
"job",326
"business",325
"working",325
"different",323
"food",323
"run",323
"post",322
"everything",321
"past",321
"company",319
"having",318
"someone",318
"actually",315
"however",315
"try",315
"bad",313
"friday",311
"times",310
"yet",310
"course",309
"follow",309
"full",308
"pretty",307
"president",306
"county",305
"everyone",305
"nothing",305
"including",304
"able",303
"live",303
"coming",302
"month",302
"believe",301
"fun",300
"must",300
"started",300
"wanted",299
"side",298
"kind",297
"early",296
"later",296
"center",293
"along",292
"court",292
"person",292
"far",291
"nice",291
"small",291
"anything",289
"makes",286
"tonight",285
"line",283
"news",283
"trying",282
"ago",280
"less",280
"saw",280
"five",278
"yes",278
"white",277
"games",275
"kids",275
